"Time","prequal","roundrobin"
2026-06-08 16:01:30,3.63K req/s,0 req/s
2026-06-08 16:01:33,4.98K req/s,0 req/s
2026-06-08 16:01:36,5.04K req/s,0 req/s
2026-06-08 16:01:39,5.05K req/s,0 req/s
2026-06-08 16:01:42,5.08K req/s,0 req/s
2026-06-08 16:01:45,5.09K req/s,0 req/s
2026-06-08 16:01:48,5.10K req/s,0 req/s
2026-06-08 16:01:51,5.10K req/s,0 req/s
2026-06-08 16:01:54,4.67K req/s,0 req/s
2026-06-08 16:01:57,2.97K req/s,0 req/s
2026-06-08 16:02:00,1.27K req/s,0 req/s
2026-06-08 16:02:03,0 req/s,84.1 req/s
2026-06-08 16:02:06,0 req/s,1.44K req/s
2026-06-08 16:02:09,0 req/s,2.77K req/s
2026-06-08 16:02:12,0 req/s,4.05K req/s
2026-06-08 16:02:15,0 req/s,4.11K req/s
2026-06-08 16:02:18,0 req/s,4.48K req/s
2026-06-08 16:02:21,0 req/s,4.65K req/s
2026-06-08 16:02:24,0 req/s,4.89K req/s
2026-06-08 16:02:27,0 req/s,4.78K req/s
2026-06-08 16:02:30,0 req/s,4.60K req/s
2026-06-08 16:02:33,0 req/s,4.30K req/s
2026-06-08 16:02:36,0 req/s,2.71K req/s
2026-06-08 16:02:39,0 req/s,1.35K req/s
2026-06-08 16:02:42,0 req/s,0 req/s
2026-06-08 16:02:45,463 req/s,0 req/s
2026-06-08 16:02:48,2.17K req/s,0 req/s
2026-06-08 16:02:51,4.02K req/s,0 req/s
2026-06-08 16:02:54,5.41K req/s,0 req/s
2026-06-08 16:02:57,5.53K req/s,0 req/s
2026-06-08 16:03:00,5.54K req/s,0 req/s
2026-06-08 16:03:03,5.57K req/s,0 req/s
2026-06-08 16:03:06,5.60K req/s,0 req/s
2026-06-08 16:03:09,5.53K req/s,0 req/s
2026-06-08 16:03:12,5.47K req/s,0 req/s
2026-06-08 16:03:15,4.84K req/s,0 req/s
2026-06-08 16:03:18,3.04K req/s,0 req/s
2026-06-08 16:03:21,1.22K req/s,0 req/s
2026-06-08 16:03:24,0 req/s,165 req/s
2026-06-08 16:03:27,0 req/s,1.51K req/s
2026-06-08 16:03:30,0 req/s,3.13K req/s
2026-06-08 16:03:33,0 req/s,4.67K req/s
2026-06-08 16:03:36,0 req/s,4.99K req/s
2026-06-08 16:03:39,0 req/s,4.91K req/s
2026-06-08 16:03:42,0 req/s,4.79K req/s
2026-06-08 16:03:45,0 req/s,4.70K req/s
2026-06-08 16:03:48,0 req/s,4.66K req/s
2026-06-08 16:03:51,0 req/s,4.41K req/s
2026-06-08 16:03:54,0 req/s,4.06K req/s
2026-06-08 16:03:57,0 req/s,2.55K req/s
2026-06-08 16:04:00,0 req/s,1.22K req/s
2026-06-08 16:04:03,0 req/s,0 req/s
2026-06-08 16:04:06,702 req/s,0 req/s
2026-06-08 16:04:09,2.44K req/s,0 req/s
2026-06-08 16:04:12,4.34K req/s,0 req/s
2026-06-08 16:04:15,5.49K req/s,0 req/s
2026-06-08 16:04:18,5.59K req/s,0 req/s
2026-06-08 16:04:21,5.60K req/s,0 req/s
